[2017/02/13 15:47:18] step 0, training accuracy 0.0173574
[2017/02/13 15:47:18] step 1, training accuracy 0.0211432
[2017/02/13 15:47:18] step 2, training accuracy 0.0233146
[2017/02/13 15:47:18] step 3, training accuracy 0.0253575
[2017/02/13 15:47:18] step 4, training accuracy 0.026729
[2017/02/13 15:47:18] step 5, training accuracy 0.0297433
[2017/02/13 15:47:18] step 6, training accuracy 0.0313004
[2017/02/13 15:47:18] step 7, training accuracy 0.0343005
[2017/02/13 15:47:18] step 8, training accuracy 0.0349005
[2017/02/13 15:47:18] step 9, training accuracy 0.0372434
[2017/02/13 15:47:18] step 10, training accuracy 0.0388863
[2017/02/13 15:47:18] step 11, training accuracy 0.041372
[2017/02/13 15:47:18] step 12, training accuracy 0.0442006
[2017/02/13 15:47:18] step 13, training accuracy 0.0448435
[2017/02/13 15:47:18] step 14, training accuracy 0.0475864
[2017/02/13 15:47:18] step 15, training accuracy 0.0494293
[2017/02/13 15:47:18] step 16, training accuracy 0.0526865
[2017/02/13 15:47:18] step 17, training accuracy 0.0539722
[2017/02/13 15:47:18] step 18, training accuracy 0.057958
[2017/02/13 15:47:18] step 19, training accuracy 0.0590437
[2017/02/13 15:47:18] step 20, training accuracy 0.0615152
[2017/02/13 15:47:18] step 21, training accuracy 0.0649009
[2017/02/13 15:47:18] step 22, training accuracy 0.0675295
[2017/02/13 15:47:18] step 23, training accuracy 0.0694153
[2017/02/13 15:47:18] step 24, training accuracy 0.072501
[2017/02/13 15:47:18] step 25, training accuracy 0.0765868
[2017/02/13 15:47:18] step 26, training accuracy 0.076844
[2017/02/13 15:47:18] step 27, training accuracy 0.0811583
[2017/02/13 15:47:18] step 28, training accuracy 0.0833155
[2017/02/13 15:47:18] step 29, training accuracy 0.0879441
[2017/02/13 15:47:18] step 30, training accuracy 0.0904299
[2017/02/13 15:47:18] step 31, training accuracy 0.0914299
[2017/02/13 15:47:18] step 32, training accuracy 0.0975014
[2017/02/13 15:47:18] step 33, training accuracy 0.0975157
[2017/02/13 15:47:18] step 34, training accuracy 0.100201
[2017/02/13 15:47:18] step 35, training accuracy 0.10343
[2017/02/13 15:47:18] step 36, training accuracy 0.106644
[2017/02/13 15:47:18] step 37, training accuracy 0.109387
[2017/02/13 15:47:18] step 38, training accuracy 0.11183
[2017/02/13 15:47:18] step 39, training accuracy 0.114802
[2017/02/13 15:47:18] step 40, training accuracy 0.116116
[2017/02/13 15:47:18] step 41, training accuracy 0.120245
[2017/02/13 15:47:18] step 42, training accuracy 0.12363
[2017/02/13 15:47:18] step 43, training accuracy 0.126945
[2017/02/13 15:47:18] step 44, training accuracy 0.12813
[2017/02/13 15:47:18] step 45, training accuracy 0.131345
[2017/02/13 15:47:18] step 46, training accuracy 0.134273
[2017/02/13 15:47:18] step 47, training accuracy 0.137145
[2017/02/13 15:47:18] step 48, training accuracy 0.139045
[2017/02/13 15:47:18] step 49, training accuracy 0.142145
[2017/02/13 15:47:18] step 50, training accuracy 0.145188
[2017/02/13 15:47:18] step 51, training accuracy 0.147659
[2017/02/13 15:47:18] step 52, training accuracy 0.148688
[2017/02/13 15:47:18] step 53, training accuracy 0.152059
[2017/02/13 15:47:18] step 54, training accuracy 0.155031
[2017/02/13 15:47:18] step 55, training accuracy 0.157645
[2017/02/13 15:47:18] step 56, training accuracy 0.160131
[2017/02/13 15:47:18] step 57, training accuracy 0.164588
[2017/02/13 15:47:18] step 58, training accuracy 0.165874
[2017/02/13 15:47:18] step 59, training accuracy 0.169545
[2017/02/13 15:47:18] step 60, training accuracy 0.170917
[2017/02/13 15:47:18] step 61, training accuracy 0.17316
[2017/02/13 15:47:18] step 62, training accuracy 0.175817
[2017/02/13 15:47:18] step 63, training accuracy 0.179631
[2017/02/13 15:47:18] step 64, training accuracy 0.182488
[2017/02/13 15:47:18] step 65, training accuracy 0.185688
[2017/02/13 15:47:18] step 66, training accuracy 0.186003
[2017/02/13 15:47:18] step 67, training accuracy 0.189074
[2017/02/13 15:47:18] step 68, training accuracy 0.190317
