[2017/02/12 06:05:51] step 0, training accuracy 0.263657, training cross entropy 230721
[2017/02/12 06:05:51] step 1, training accuracy 0.268329, training cross entropy 229805
[2017/02/12 06:05:51] step 2, training accuracy 0.271814, training cross entropy 228721
[2017/02/12 06:05:51] step 3, training accuracy 0.272629, training cross entropy 227835
[2017/02/12 06:05:51] step 4, training accuracy 0.275857, training cross entropy 226999
[2017/02/12 06:05:51] step 5, training accuracy 0.279557, training cross entropy 225723
[2017/02/12 06:05:51] step 6, training accuracy 0.282829, training cross entropy 224630
[2017/02/12 06:05:51] step 7, training accuracy 0.285829, training cross entropy 223731
[2017/02/12 06:05:51] step 8, training accuracy 0.291314, training cross entropy 222609
[2017/02/12 06:05:51] step 9, training accuracy 0.293314, training cross entropy 221501
[2017/02/12 06:05:51] step 10, training accuracy 0.297786, training cross entropy 220461
[2017/02/12 06:05:51] step 11, training accuracy 0.299857, training cross entropy 219640
[2017/02/12 06:05:51] step 12, training accuracy 0.303186, training cross entropy 218322
[2017/02/12 06:05:51] step 13, training accuracy 0.308229, training cross entropy 217283
[2017/02/12 06:05:51] step 14, training accuracy 0.310357, training cross entropy 216502
[2017/02/12 06:05:51] step 15, training accuracy 0.316243, training cross entropy 215476
[2017/02/12 06:05:51] step 16, training accuracy 0.316357, training cross entropy 214760
[2017/02/12 06:05:51] step 17, training accuracy 0.318171, training cross entropy 213810
[2017/02/12 06:05:51] step 18, training accuracy 0.323629, training cross entropy 212877
[2017/02/12 06:05:51] step 19, training accuracy 0.3259, training cross entropy 212045
[2017/02/12 06:05:51] step 20, training accuracy 0.327143, training cross entropy 210706
[2017/02/12 06:05:51] step 21, training accuracy 0.331971, training cross entropy 210246
[2017/02/12 06:05:51] step 22, training accuracy 0.336414, training cross entropy 209125
[2017/02/12 06:05:51] step 23, training accuracy 0.3391, training cross entropy 208307
[2017/02/12 06:05:51] step 24, training accuracy 0.339814, training cross entropy 207514
[2017/02/12 06:05:51] step 25, training accuracy 0.342557, training cross entropy 206545
[2017/02/12 06:05:51] step 26, training accuracy 0.346086, training cross entropy 205621
[2017/02/12 06:05:51] step 27, training accuracy 0.348014, training cross entropy 204840
[2017/02/12 06:05:51] step 28, training accuracy 0.351486, training cross entropy 204027
[2017/02/12 06:05:51] step 29, training accuracy 0.356514, training cross entropy 202820
[2017/02/12 06:05:51] step 30, training accuracy 0.3574, training cross entropy 202233
[2017/02/12 06:05:51] step 31, training accuracy 0.357629, training cross entropy 201152
[2017/02/12 06:05:51] step 32, training accuracy 0.361971, training cross entropy 200784
[2017/02/12 06:05:51] step 33, training accuracy 0.364386, training cross entropy 199375
[2017/02/12 06:05:51] step 34, training accuracy 0.364057, training cross entropy 199221
[2017/02/12 06:05:51] step 35, training accuracy 0.3693, training cross entropy 197855
[2017/02/12 06:05:51] step 36, training accuracy 0.371743, training cross entropy 197035
[2017/02/12 06:05:51] step 37, training accuracy 0.374643, training cross entropy 196427
[2017/02/12 06:05:51] step 38, training accuracy 0.377471, training cross entropy 195501
[2017/02/12 06:05:51] step 39, training accuracy 0.381586, training cross entropy 194745
[2017/02/12 06:05:51] step 40, training accuracy 0.382871, training cross entropy 194139
[2017/02/12 06:05:51] step 41, training accuracy 0.3846, training cross entropy 193480
[2017/02/12 06:05:51] step 42, training accuracy 0.386943, training cross entropy 192254
[2017/02/12 06:05:51] step 43, training accuracy 0.391771, training cross entropy 191585
[2017/02/12 06:05:51] step 44, training accuracy 0.393186, training cross entropy 191284
[2017/02/12 06:05:51] step 45, training accuracy 0.394686, training cross entropy 189912
[2017/02/12 06:05:51] step 46, training accuracy 0.398586, training cross entropy 189237
[2017/02/12 06:05:51] step 47, training accuracy 0.401, training cross entropy 188490
[2017/02/12 06:05:51] step 48, training accuracy 0.405114, training cross entropy 187973
[2017/02/12 06:05:51] step 49, training accuracy 0.404029, training cross entropy 186975
[2017/02/12 06:05:51] test accuracy 0.404971

real	971m17.779s
user	1520m26.451s
sys	780m20.793s
