[2017/02/11 04:14:59] step 0, training accuracy 0.167143, training cross entropy 259460
[2017/02/11 04:14:59] step 1, training accuracy 0.169714, training cross entropy 258856
[2017/02/11 04:14:59] step 2, training accuracy 0.174571, training cross entropy 258116
[2017/02/11 04:14:59] step 3, training accuracy 0.174743, training cross entropy 257505
[2017/02/11 04:14:59] step 4, training accuracy 0.176729, training cross entropy 256887
[2017/02/11 04:14:59] step 5, training accuracy 0.181043, training cross entropy 256230
[2017/02/11 04:14:59] step 6, training accuracy 0.1825, training cross entropy 255573
[2017/02/11 04:14:59] step 7, training accuracy 0.183357, training cross entropy 254802
[2017/02/11 04:14:59] step 8, training accuracy 0.187414, training cross entropy 254145
[2017/02/11 04:14:59] step 9, training accuracy 0.188786, training cross entropy 253773
[2017/02/11 04:14:59] step 10, training accuracy 0.190743, training cross entropy 252952
[2017/02/11 04:14:59] step 11, training accuracy 0.191671, training cross entropy 252287
[2017/02/11 04:14:59] step 12, training accuracy 0.195129, training cross entropy 251568
[2017/02/11 04:14:59] step 13, training accuracy 0.1963, training cross entropy 251137
[2017/02/11 04:14:59] step 14, training accuracy 0.198714, training cross entropy 250453
[2017/02/11 04:14:59] step 15, training accuracy 0.201229, training cross entropy 249746
[2017/02/11 04:14:59] step 16, training accuracy 0.203357, training cross entropy 249033
[2017/02/11 04:14:59] step 17, training accuracy 0.206729, training cross entropy 248582
[2017/02/11 04:14:59] step 18, training accuracy 0.210214, training cross entropy 247817
[2017/02/11 04:14:59] step 19, training accuracy 0.211914, training cross entropy 247334
[2017/02/11 04:14:59] step 20, training accuracy 0.211986, training cross entropy 246676
[2017/02/11 04:14:59] step 21, training accuracy 0.216157, training cross entropy 246090
[2017/02/11 04:14:59] step 22, training accuracy 0.215943, training cross entropy 245415
[2017/02/11 04:14:59] step 23, training accuracy 0.221257, training cross entropy 244924
[2017/02/11 04:14:59] step 24, training accuracy 0.2238, training cross entropy 244243
[2017/02/11 04:14:59] step 25, training accuracy 0.225157, training cross entropy 243784
[2017/02/11 04:14:59] step 26, training accuracy 0.224629, training cross entropy 243080
[2017/02/11 04:14:59] step 27, training accuracy 0.229271, training cross entropy 242418
[2017/02/11 04:14:59] step 28, training accuracy 0.229843, training cross entropy 241925
[2017/02/11 04:14:59] step 29, training accuracy 0.233971, training cross entropy 241372
[2017/02/11 04:14:59] step 30, training accuracy 0.234643, training cross entropy 240764
[2017/02/11 04:14:59] step 31, training accuracy 0.2361, training cross entropy 240144
[2017/02/11 04:14:59] step 32, training accuracy 0.239614, training cross entropy 239690
[2017/02/11 04:14:59] step 33, training accuracy 0.240557, training cross entropy 239034
[2017/02/11 04:14:59] step 34, training accuracy 0.241043, training cross entropy 238585
[2017/02/11 04:14:59] step 35, training accuracy 0.243929, training cross entropy 238021
[2017/02/11 04:14:59] step 36, training accuracy 0.245557, training cross entropy 237326
[2017/02/11 04:14:59] step 37, training accuracy 0.246757, training cross entropy 236850
[2017/02/11 04:14:59] step 38, training accuracy 0.249129, training cross entropy 236386
[2017/02/11 04:14:59] step 39, training accuracy 0.249114, training cross entropy 235689
[2017/02/11 04:14:59] step 40, training accuracy 0.251386, training cross entropy 235176
[2017/02/11 04:14:59] step 41, training accuracy 0.255214, training cross entropy 234649
[2017/02/11 04:14:59] step 42, training accuracy 0.254329, training cross entropy 234097
[2017/02/11 04:14:59] step 43, training accuracy 0.2568, training cross entropy 233603
[2017/02/11 04:14:59] step 44, training accuracy 0.258014, training cross entropy 233078
[2017/02/11 04:14:59] step 45, training accuracy 0.2618, training cross entropy 232512
[2017/02/11 04:14:59] step 46, training accuracy 0.262814, training cross entropy 232038
[2017/02/11 04:14:59] step 47, training accuracy 0.265214, training cross entropy 231416
[2017/02/11 04:14:59] step 48, training accuracy 0.263786, training cross entropy 230782
[2017/02/11 04:14:59] step 49, training accuracy 0.266386, training cross entropy 230455
[2017/02/11 04:14:59] test accuracy 0.266657
