[2017/02/09 01:47:35] step 0, training accuracy 0.0193431
[2017/02/09 01:47:35] step 1, training accuracy 0.0217289
[2017/02/09 01:47:35] step 2, training accuracy 0.0227432
[2017/02/09 01:47:35] step 3, training accuracy 0.0247575
[2017/02/09 01:47:35] step 4, training accuracy 0.0261861
[2017/02/09 01:47:35] step 5, training accuracy 0.028029
[2017/02/09 01:47:35] step 6, training accuracy 0.0317719
[2017/02/09 01:47:35] step 7, training accuracy 0.0328433
[2017/02/09 01:47:35] step 8, training accuracy 0.0339291
[2017/02/09 01:47:35] step 9, training accuracy 0.0355862
[2017/02/09 01:47:35] step 10, training accuracy 0.0383434
[2017/02/09 01:47:35] step 11, training accuracy 0.0393006
[2017/02/09 01:47:35] step 12, training accuracy 0.0405434
[2017/02/09 01:47:35] step 13, training accuracy 0.0429578
[2017/02/09 01:47:35] step 14, training accuracy 0.0449006
[2017/02/09 01:47:35] step 15, training accuracy 0.0466578
[2017/02/09 01:47:35] step 16, training accuracy 0.048015
[2017/02/09 01:47:35] step 17, training accuracy 0.0497864
[2017/02/09 01:47:35] step 18, training accuracy 0.0518436
[2017/02/09 01:47:35] step 19, training accuracy 0.0538865
[2017/02/09 01:47:35] test accuracy 0.0541429
